insectID	bodyPart	source	dpf	logCopies
1	3	1	0	5.111572
2	3	1	0	5.343377
3	3	1	0	2.419599
3	1	1	0	0.714976
4	3	1	0	5.629555
4	1	1	0	1.527457
5	3	1	0	5.340098
5	1	1	0	0.421799
6	3	1	0	5.598076
6	1	1	0	0.646703
7	3	1	0	5.456496
8	3	1	0	4.113939
8	1	1	0	0.700067
9	3	1	0	5.157173
9	1	1	0	0.686434
10	3	1	0	3.101304
11	3	1	0	5.870375
12	3	1	0	5.804749
13	3	1	0	5.571404
13	1	1	0	0.712141
14	3	1	0	5.108173
15	3	1	0	4.639845
15	1	1	0	0.758508
16	3	1	0	3.140705
17	3	1	0	5.437126
18	3	1	0	2.636845
18	2	1	0	0.624686
19	3	1	0	3.961056
19	2	1	0	2.130868
20	3	1	0	2.832874
20	2	1	0	1.590019
20	1	1	0	1.213391
21	3	1	0	3.831496
21	2	1	0	2.118681
21	1	1	0	0.736344
22	3	1	0	3.345036
23	3	1	0	3.654492
24	3	1	0	5.509619
24	2	1	0	3.144448
25	3	1	0	3.183297
25	2	1	0	1.02562
25	1	1	0	1.131419
26	3	1	0	4.171908
26	2	1	0	1.400304
26	1	1	0	1.246975
27	3	1	0	2.899359
27	2	1	0	1.301466
27	1	1	0	0.69267
28	3	1	0	3.336551
29	3	1	0	5.78715
29	2	1	0	2.102958
29	1	1	0	1.6743
31	3	1	0	3.752791
31	2	1	0	0.980365
32	3	1	0	3.702813
32	2	1	0	2.291631
32	1	1	0	2.044479
33	3	1	0	4.876338
34	3	1	0	3.216196
34	2	1	0	0.471958
35	3	1	0	6.208
35	2	1	0	2.390165
35	1	1	0	1.367015
36	3	1	0	3.452791
36	2	1	0	1.429713
36	1	1	0	0.983203
37	3	1	0	2.675033
37	2	1	0	0.714361
39	3	1	4	0.706481
39	1	1	4	1.445216
42	2	1	4	1.910132
48	3	1	4	1.247963
49	2	1	4	1.283842
54	1	1	4	1.220746
55	1	1	4	0.940441
56	2	1	4	1.249168
58	2	1	4	0.947647
61	3	1	4	1.07304
61	1	1	4	0.985344
62	3	1	4	0.991752
63	2	1	4	1.436487
64	1	1	4	0.925386
67	1	1	4	0.943419
68	3	1	4	1.619268
68	1	1	4	0.995847
70	3	1	4	1.375444
70	2	1	4	1.444558
74	1	1	4	1.43815
76	1	1	4	1.242967
80	1	1	8	1.471292
87	3	1	8	1.058976
90	2	1	8	0.298963
94	2	1	8	0.871133
103	2	1	8	1.589753
104	2	1	8	2.131027
104	1	1	8	2.62634
106	2	1	8	1.241599
110	3	2	0	5.357954
111	3	2	0	6.179079
111	2	2	0	0.782581
111	1	2	0	0.675312
112	3	2	0	6.098425
112	2	2	0	2.774677
112	1	2	0	2.345293
113	3	2	0	5.36559
113	2	2	0	1.597763
114	3	2	0	3.284329
114	2	2	0	1.862969
115	3	2	0	4.85858
115	2	2	0	2.436232
115	1	2	0	0.809453
116	3	2	0	5.23325
116	2	2	0	4.291425
116	1	2	0	1.962883
117	3	2	0	5.8956
117	2	2	0	3.588845
118	3	2	0	4.795848
118	2	2	0	1.280777
118	1	2	0	1.121932
126	3	2	0	6.10877
126	2	2	0	2.085201
126	1	2	0	1.163368
127	3	2	0	6.097838
127	2	2	0	2.641265
128	3	2	0	6.197575
128	2	2	0	2.773708
128	1	2	0	2.500195
129	3	2	0	6.290083
129	2	2	0	3.535667
129	1	2	0	2.668456
130	3	2	0	6.298206
130	2	2	0	1.703942
131	3	2	0	6.287604
131	2	2	0	2.675249
131	1	2	0	1.242534
140	3	2	4	2.574109
140	2	2	4	2.165859
140	1	2	4	0.927118
141	3	2	4	2.351719
141	2	2	4	1.92044
141	1	2	4	1.154058
143	3	2	4	1.132557
143	1	2	4	1.3838
144	3	2	4	1.956732
144	1	2	4	0.877953
146	3	2	4	2.162234
146	1	2	4	0.900603
147	2	2	4	1.225487
147	1	2	4	1.142577
148	2	2	4	1.087389
148	1	2	4	0.938093
149	1	2	4	2.052165
161	2	2	4	1.380311
161	1	2	4	1.464547
162	3	2	4	1.131564
162	2	2	4	1.153968
162	1	2	4	-0.446059
163	3	2	4	2.545763
163	2	2	4	2.452673
163	1	2	4	0.959115
164	2	2	4	0.964979
165	2	2	4	0.806751
165	1	2	4	0.650835
174	3	2	8	1.327915
174	2	2	8	1.904393
175	2	2	8	1.802161
175	1	2	8	2.029384
176	3	2	8	1.110989
177	3	2	8	3.351665
178	3	2	8	1.113314
178	2	2	8	1.21754
179	3	2	8	2.075538
179	2	2	8	2.004865
179	1	2	8	2.58995
181	3	2	8	1.069891
181	2	2	8	1.13222
181	1	2	8	1.103804
182	3	2	8	1.360214
182	2	2	8	1.249883
182	1	2	8	1.11059
194	2	2	8	1.214065
195	3	2	8	1.114131
196	2	2	8	0.989734
197	3	2	8	1.103487
197	2	2	8	1.87854
197	1	2	8	1.705008
199	1	2	8	1.390935
